Feature,Importance
cat80,0.2530186913010034
cont7,0.11548729380065764
cat57,0.0511321462067475
cont2,0.04958181768303473
cat79,0.042154982989151144
cont14,0.036927128384918115
cat101,0.029373454158724898
cat12,0.02497457884430354
cat81,0.021443102501644943
cont3,0.016051436332472576
cont5,0.01501324744184277
cat100,0.014856062215986716
cont12,0.014634895868573503
cont8,0.014590692548576548
cont11,0.014013414581901038
cont6,0.013703399100631493
cont1,0.013131806144038836
cat112,0.013082360138970309
cont4,0.012986065063646832
cat103,0.012966958964211007
cont13,0.011142153287689877
cat111,0.010325442754575465
cat114,0.01014876015384379
cat110,0.009765491421747634
cont9,0.009644234509151292
cont10,0.009310629406206902
cat116,0.00903944801144237
cat113,0.00855030062573244
cat1,0.00833759933750691
cat87,0.006633874357732595
cat105,0.0058485689644556
cat72,0.005501004012220329
cat91,0.005257547078179238
cat53,0.005098234751130757
cat115,0.004068870865177468
cat107,0.004061821371750339
cat106,0.003942189651720905
cat83,0.0031733070828023333
cat82,0.0031595883697174893
cat27,0.002970593310668074
cat38,0.0029459729715012118
cat2,0.0027606210397990026
cat36,0.002734373336812235
cat9,0.002659683887893126
cat108,0.002624568202702458
cat93,0.002480458778530537
cat92,0.0024490287261253753
cat104,0.0024468768227682443
cat37,0.0023145307658157697
cat23,0.002145126070443516
cat44,0.0021115588648629295
cat97,0.0020622104234024564
cat102,0.0020062432724281525
cat84,0.0019973004325937304
cat73,0.0019197578588788559
cat99,0.001873584065390772
cat52,0.001855024667256586
cat11,0.0018532851254160249
cat10,0.0018180803967414538
cat95,0.0018011737210860128
cat76,0.0017322291060668734
cat5,0.00172878585591634
cat4,0.0016176196538136055
cat50,0.0015964127059643432
cat94,0.0015109708054963195
cat26,0.0014701384814524998
cat49,0.0014203445206702934
cat25,0.0013601256552980493
cat109,0.0013375009017433856
cat13,0.0012646297328624137
cat75,0.0011261353281777702
cat66,0.0010993813863032715
cat6,0.0010689932226689417
cat96,0.001050962640048349
cat16,0.001030081598712957
cat90,0.0009009697673209662
cat40,0.0008690121095965144
cat71,0.0008477948978436393
cat28,0.0008237499058540369
cat98,0.0007943314203287062
cat41,0.0007623717462029841
cat8,0.0007572570758657296
cat24,0.0007435449979473333
cat65,0.0007018530324389882
cat45,0.0007015433533457304
cat29,0.0006912447209106172
cat78,0.0006811179596472907
cat31,0.0006724046271197649
cat3,0.0006516143861611128
cat39,0.000648784472746126
cat85,0.0005898977296392187
cat42,0.000512170593432269
cat88,0.000500831404947751
cat19,0.0004914756683796386
cat30,0.0004762330780377568
cat43,0.0004582367116854201
cat74,0.0004388611782774089
cat54,0.00042368607259125315
cat51,0.00041660447993584085
cat86,0.00039827158820418096
cat14,0.00039251604856087747
cat17,0.00039055237370574735
cat7,0.000387963738361569
cat68,0.0003724609514710922
cat34,0.0002949409640111313
cat77,0.0002778512738549541
cat89,0.00026707901415556066
cat32,0.00020591534770748545
cat18,0.00020405334537462375
cat47,0.00017927089689948213
cat46,0.0001586673120262311
cat35,0.00010571053202962556
cat67,0.00010200775728109821
cat33,8.126547974292527e-05
cat59,7.768813755636995e-05
cat56,4.432557621617841e-05
cat69,2.982719950526462e-05
cat58,2.55983777618562e-05
cat21,2.351677680312301e-05
cat48,1.6638049012525425e-05
cat60,1.1274047173801933e-05
cat55,6.446021027520158e-06
cat20,5.944641908174843e-06
cat61,5.256387717211211e-06
cat70,2.4021515420254206e-06
cat15,0.0
cat64,0.0
cat22,0.0
cat62,0.0
cat63,0.0
